cobh.annick.1	Ann Ni가 나타날 수 있습니다.
cobh.annick.2	Annicker의 상점을 성공적으로 만듭니다.
cobh.annick.3	식료품 점
cobh.annick.4	[1]음식
cobh.annick.5	[2]요리 도구
cobh.annick.6	Annicker의 상점을 만들지 못했습니다.
cobh.annick.7	하하하하, 잘 생겼어? Belfast Autonomous Territories .. 나는 나에게 속할 수 있었고 너무 유감 스러웠다. 부하 직원은 무엇을하고 있습니까? 음 ... 폭풍이오고있는 것처럼 보입니다. 와우 ~ 바다 냄새가 너무 좋아! \ n Ha ha ha ha | 그렇게 바다 날에 타는 것을 놓친다 - 그런데 하하하하는 당신을 환영한다! 그것이 어빙 감독이 아니면, 나는 여기에 없을 것입니다! 선반은 지금 무엇을 할 것인가 ... | hahahaha! 이 얼마나 우스운 남자! 또 다른 새로운 날!
cobh.annick.8	식료품 점
cobh.annick.9	[1]음식
cobh.annick.10	[2]요리 도구
cobh.annick.11	(통신 할 수없는 것 같습니다)
cobh.annick.12	<npcportrait name='NONE'/><title name='NONE'/>잃어버린 젊음에 대한 성장하는 주름은 유감스럽게 보입니다. 잠시 멈추지 마라. 입이 끊임없이 웃음. <button title='계속' keyword='@continue'/>
cobh.annick.13	<npcportrait name='NONE'/><title name='NONE'/>잃어버린 젊음에 대한 성장하는 주름은 유감스럽게 보입니다. 잠시 멈추지 마라. 입이 끊임없이 웃음. <button title='계속하기' keyword='@continue'/>
cobh.annick.14	이봐, 환영 해! 가장 호화로운 호텔 카푸 항구가 있습니다! 카푸는 내 호텔 중 하나 일 뿐이지 만 ... <p/>이곳은 가장 좋고 최악의 호텔입니다! 하하하! 농담하지 마라, 여기 정말 맛있다! <p/>(자신에게 물어보십시오. 지루해합니다.) <p/>나를 찾았습니까? 불행히도, 부두가 건설 중이기 때문에 페리 티켓을 팔 수 없습니다. <p/>여전히 구매를 고집한다면, 나는 당신에게 그것을 팔아서 기꺼이 할 것이지만, 당분간은 탑승하지 못할 수도 있습니다. 어 하 하 하 하!
cobh.annick.15	<button title='Peter에 대해 물어보십시오' keyword='@answer2'/>
cobh.annick.16	<button title='농담이 재미 없다'라고 서로 말하십시오. keyword='@answer3'/>
cobh.annick.17	(앤 니켈은 무엇이 그의 눈을 돌았는지 궁금해하는 것 같다.) 그리고 무엇을보아야할지 모르겠다.) 피터.이 사람? </p>오, 나는 벨파스트가 그런 재밌는 사업가를 가진 것처럼 생각했습니다. 그러나, 나는 그에게 익숙하지 않다. 겨우 몇 번 만났고 우정은 없었습니다. <p/>그 사람이 아스가 가족을 도왔다 고 했습니까? 그게 잘못 아닌가? 거기 있니? 하하하! 세상에! 배꼽 웃음 파열.
