emainmacha.subnpc.cecil.1	세실 데뷔.
emainmacha.subnpc.cecil.2	죄송합니다. | La La La ~ La La | Ah 咦 |
emainmacha.subnpc.cecil.3	(언어 장벽이있는 것처럼 보입니다)
emainmacha.subnpc.cecil.4	<title name='Shiro / 나는 그런 종류의 사람을 정말로 좋아하지 않는다. 그의 더러운 턱수염을 보아라. <npcportrait name='yuki'/><title 끔찍하다고 생각하지 않습니까? <p/>
emainmacha.subnpc.cecil.5	(양손으로 그리스 판으로, 걱정되는 표정을 짓는다.) <p/>
emainmacha.subnpc.cecil.6	어떻게 그런 식으로 느끼지 않습니까? 그가 움직일 때마다, 그는 떠있는 수염 속에서 부드러운 미소를 볼 수 있습니다. <p/>당신이 주먹을 잔인한 육식 동물들에게 던질 때마다 봄에 바람이 불어 오는 팔목 소리가 들립니다! <p/>정말 너무 ... 미남. 너무 힘들어. 나는 힘든 사람을 좋아해. (세실은 페레즈를 쳐다 보면서 양파를 자르려고 애쓰며, 속삭이는 것과 비슷한 기술을 사용했다. 속삭이다.) Pere Brother와 마찬가지로, 이것은 키가 크고 얇은 마른 남자이며, 나는 정말로 그것을 좋아하지 않는다 ... <p/>
emainmacha.subnpc.cecil.7	<title name='유키'/>내가 페이처럼 마음에 들지 물론 이 사람이 리드 ... <BR/>은 할 수 있지만, 그럼에도 불구하고, 우리는 내가 카이를 좋아하는 것을 말할 수 없다 아 ...! <p/>
emainmacha.subnpc.cecil.8	그는 소리 지르는 뻬더가 망설이지 않고 들려주는 것을 들었을 때 당황한 표정으로 시력을 피했다.
emainmacha.subnpc.cecil.9	<p/><title name='그 말은 ... 카에다 만 혼자가 아니라. <username/>여기에 또한 도움이 아. <p/>
emainmacha.subnpc.cecil.10	<title name=''Xi'/>미나라는 여자가 있지 않습니까? 제 생각에 케이는 그다지 좋지 않습니다 ... <p/>
emainmacha.subnpc.cecil.11	하지만 제자는 미나라는 미나 여인이라고 불렀습니다. <p/>
emainmacha.subnpc.cecil.12	제자가 어떤 종류인지, 당신은 주인이 할 수있는 일이 얼마나 많은지 판단 할 수 없습니까? 그래서, 가장 잘 생긴 것은 카가 얀입니다! Hehe ... 그러나 전투 능력은 그건 중요하지 않아. 사랑에는 이유가 있어야합니다. </p>나는 지금 살거나 첫 심장 박동을 너무나 많이 보냅니다. 이제 저는 동생의 생각을보고 싶습니다 ... 아, 카가 얀 ... <p/>
emainmacha.subnpc.cecil.13	<title name='由 希'/>...... <p/>
emainmacha.subnpc.cecil.14	(시로는 머리를 흔들어 나를 보았다.) <p/>
emainmacha.subnpc.cecil.15	<title name='그리스어에서/><username/>, 멍청하게 서서 뭔가를하지 마십시오. <p/><npcportrait name='yuki'/><title name='체흐는 당신을별로 모르는 사람과 사랑에 빠졌습니까?
emainmacha.subnpc.cecil.16	<button title='세실 측에 서' keyword='@answer_1'/>
emainmacha.subnpc.cecil.17	<button title='그리스어 측에 서있다' keyword='@answer_2'/>
emainmacha.subnpc.cecil.18	이봐, [?Male:형제/여동생]은 상상력보다 시력이 좋은가? <p/>
emainmacha.subnpc.cecil.19	(세실은 행복하게 웃으며 내 어깨를 농담으로 밀었습니다.) <p/>그리스어 자매님이 보았습니까? <username/>내 기분을 이해했습니다! <p/>
emainmacha.subnpc.cecil.20	음, Qaixi의 매력조차도 그것을 이해할 수는 없습니다! 정말 시력이 없습니다! <p/>
emainmacha.subnpc.cecil.21	(냉소적으로 나를 세차 한 후에 세실 (Cecil)이 돌아 서지 않았다.) <p/>자매 수녀님, 비록 당신이 나를 걱정하고 있지만 이제는 더 많은 관심을 기울이고 있습니다. 느낌! <p/>
emainmacha.subnpc.cecil.22	<title name='그리스어로>세실,이 일을 다시 한 번하면, 나는 너를 절대 얻지 못한다. <p/><npcportrait name='yuki'/><title name='By Shiro/>당신은 그것을 경험할 수 있습니다. 처음에는 위험한 사랑이 어떤지 알지 ... 내가 경고했다. <p/>
emainmacha.subnpc.cecil.23	(그리스의 깊은 한숨 옆에, 왼쪽.) <p/>
emainmacha.subnpc.cecil.24	수녀님, 잠깐만 기다려주세요 ...! 정말! 아직도 시시 언니를 기쁘게 할만한 무언가가 있습니다. <p/>
emainmacha.subnpc.cecil.25	(세실은 말을 마치고 나서 나를 보았습니다.) <p/>아닙니다. 그런 일을하도록 요청 받았지만, <username/>은 [? male : brother / sister]에게만 주어질 수 있습니다.
emainmacha.subnpc.cecil.26	<button title='솔직히' keyword='@answer_3'/>
emainmacha.subnpc.cecil.27	<button title='도망 가기' keyword='@answer_4'/>
emainmacha.subnpc.cecil.28	너는 나를 도와 줄거야, 맞지? 나는 정말로 그것을 보지 못했다! [?Male:형제/여동생]은 확실히 나를 도울 것이다 ... hehe
emainmacha.subnpc.cecil.29	기다려! 어디 가니? <p/>
emainmacha.subnpc.cecil.30	(세실의 눈은 기대의 빛으로 번쩍이고 오른손으로 내 옷을 긁었습니다.) 사랑에 빠진 여동생이 그것을 내버려두면 안됩니다. 아무리? <p/>
emainmacha.subnpc.cecil.31	(세실은 기쁨으로 내 손을 움켜 쥐었다.) <p/>나는 당신을 위해 아주 쉽게해야만합니다. 이런 종류의 것은, [남성 : 형제 / 자매]모두 똑똑하고 잘 생기며 유능한 사람은 단순히 케이크 조각입니다. <p/>현재 Deir Cornell의 학교에 머물고있는 Cagayan el-Cola에 대해 들었습니다. 그를 찾을 수있게 도와주세요. 다음 ... 발견 된 경우 ... <p/>
