iria_elf.subnpc.elf_familyguide.1	가족 보좌관이 나타났습니다.
iria_elf.subnpc.elf_familyguide.2	홈 도우미의 상점이 만들어졌습니다.
iria_elf.subnpc.elf_familyguide.3	[1]가족 소품
iria_elf.subnpc.elf_familyguide.4	홈 헬퍼 스토어를 만들지 못했습니다.
iria_elf.subnpc.elf_familyguide.5	[1]가족 소품
iria_elf.subnpc.elf_familyguide.6	가족을 만들려면 나를 클릭하십시오.
iria_elf.subnpc.elf_familyguide.7	(단어가 작동하지 않는 것 같습니다.)
iria_elf.subnpc.elf_familyguide.8	<button title='가족 해산 신청' keyword='@DestroyFamily'/>
iria_elf.subnpc.elf_familyguide.9	<button title='종료 신청' keyword='@divorce'/>
iria_elf.subnpc.elf_familyguide.10	<button title='종료 신청' keyword='@divorce'/>
iria_elf.subnpc.elf_familyguide.11	<button title='가족 종료 요청' keyword='@QuitFamilyMember'/>
iria_elf.subnpc.elf_familyguide.12	<button title='가족 생성 / 채택' keyword='@createfamily'/>
iria_elf.subnpc.elf_familyguide.13	<button title='가족 종료 요청' keyword='@QuitFamilyMember'/>
iria_elf.subnpc.elf_familyguide.14	<button title='가족 안내서 만들기' keyword='@help'/>
iria_elf.subnpc.elf_familyguide.15	<button title='거래' keyword='@shop'/>
iria_elf.subnpc.elf_familyguide.16	<button title='취소' keyword='@end'/>
iria_elf.subnpc.elf_familyguide.17	내가 너를 도울 수 있니?
iria_elf.subnpc.elf_familyguide.18	가족을 만들기 위해서는 가족 배지가 필요하며, 입양을 위해서는 자격증이 필요합니다.
iria_elf.subnpc.elf_familyguide.19	뭐가 필요해?
iria_elf.subnpc.elf_familyguide.20	가족을 만들기 위해서는 먼저 결혼해야합니다. 결혼에 관해서는 조수 옆에있는 결혼 예식을 참조 할 수 있습니다. 나는 알고 싶은 질문에 대답 할 수 있다고 믿습니다. <p/>결혼 한 후 나에게 이야기하면 가족 배지를 사서 정상적으로 가족을 만들 수 있습니다. 자녀를 입양하고 싶다면 입양 허가 증명서를 구입하면됩니다.
iria_elf.subnpc.elf_familyguide.21	그럼 다시 오세요.
iria_elf.subnpc.elf_familyguide.22	집을 그만두고 싶다면 먼저 이혼을해야합니다. 두 번 생각해보십시오. <p/>원칙적으로 이혼시, 상대방 배우자가 오랫동안 게임에 로그온하지 않았거나 삭제 된 후에 만 ​​양방향 동의가 필요합니다 이혼 절차는 일방적으로 수행 될 수 있습니다. <div>이중 머리 계약을 맺은 후 이혼 할 경우 금 처리 수수료가 부과되며 악의적 인 이혼을 막기 위해 일방적 이혼이 더 많이 청구됩니다/>즉, {1} 금 금입니다. <p/>
iria_elf.subnpc.elf_familyguide.23	이혼 방법을 선택하십시오. <button title='동의 이혼' keyword='@상호'/><button title='일방 이혼' keyword='@onesidedly'/><button title='취소' keyword='@cancel'/>
iria_elf.subnpc.elf_familyguide.24	배우자의 의도가 묻습니다. 기다려주십시오. <button title='확인' keyword='@divorce_confirm'/><button title='취소' keyword='@종료'/>
iria_elf.subnpc.elf_familyguide.25	이혼 절차가 처리되었습니다.
iria_elf.subnpc.elf_familyguide.26	아직 대답이 없습니다. 잠시만 기다려주십시오.
iria_elf.subnpc.elf_familyguide.27	배우자는 이혼을 거부합니다. 양측에 대해 더 자세히 토론 해주세요, 어떻게?
iria_elf.subnpc.elf_familyguide.28	이미 취소되었습니다. 양측에 대해 더 자세히 토론 해주세요, 어떻게?
iria_elf.subnpc.elf_familyguide.29	당신의 배우자가없는 것 같습니다. 현재 없음
iria_elf.subnpc.elf_familyguide.30	이 배우자는 과거에 처음으로 일방적 인 이혼 절차를 밟았습니다.
iria_elf.subnpc.elf_familyguide.31	합의 이혼 과정에서 벌레가 있습니다. 스크린 샷을 버그 게시판에 업로드하십시오.
iria_elf.subnpc.elf_familyguide.32	자금이 충분하지 않습니다. {0} 이혼에는 금이 필요합니다.
iria_elf.subnpc.elf_familyguide.33	너의 배우자가 모이는 것 같지 않아. 이혼 계약을하고 싶다면 함께 오시기 바랍니다.
iria_elf.subnpc.elf_familyguide.34	이혼이 일방적으로 제안 될 때, 처리 비용은 더 많을 것이고, 상대방은 이혼 사실을 오랫동안 알지 못했을 것입니다. 네가 분명히 생각하기를 바란다. <p/>정말로 이혼합니까? <button title='예' keyword='@Yes'/><button title='not' keyword='@No'/>
iria_elf.subnpc.elf_familyguide.35	이혼 절차가 제대로 처리되었습니다 ...
iria_elf.subnpc.elf_familyguide.36	강제 이혼 처리 오류, 오류 게시판에보고하십시오.
iria_elf.subnpc.elf_familyguide.37	금화가 충분하지 않습니다 .. 이혼을 강요하려면 {0} 금이 필요합니다.
iria_elf.subnpc.elf_familyguide.38	이미 취소되었습니다. 양측에 대해 더 자세히 토론 해주세요, 어떻게?
