iria_human.heulfryn.1	[0]포션
iria_human.heulfryn.2	[1]구급 용품
iria_human.heulfryn.3	[2]마법 아이템
iria_human.heulfryn.4	[3]마법의 스킬 북
iria_human.heulfryn.5	[4]마법 무기
iria_human.heulfryn.6	어디에 있어도 축복은 필요하다고 생각해요. |치료를 받고 싶은 분은 언제라도 말을 걸어 주세요. |응… 여기는 마나의 영향이…. |마법 용품도 팔고 있어요~. |아르바이트를 해 주는 사람을 찾지 않으면…. |오늘은 집에 편지에서도 보내 볼까…. |훨씬 좋은 날씨라면 좋구나….
iria_human.heulfryn.7	[0]포션
iria_human.heulfryn.8	[1]구급 용품
iria_human.heulfryn.9	[2]마법 아이템
iria_human.heulfryn.10	[3]마법의 스킬 북
iria_human.heulfryn.11	[4]마법 무기
iria_human.heulfryn.12	(말이 통하지 않는 것 같다.)
iria_human.heulfryn.13	<npcportrait name='NONE'/><title name='NONE'/>부드러운 카스타드 크림색의 머리카락은 목의 근처에서 예쁘게 가지런히 자를 수 있어<br/>투명하게 빛나는 무구한 눈동자가, 상냥하게 미소짓는다. <br/>작은 어깨 위에 살그머니 걸쳐지고 있는 황녹색의 stall는, 봄이 따뜻한 분위기를 자아내 있는 것과 같다. <br/><button title='계속한다' keyword='@continue'/>
iria_human.heulfryn.14	계세요~. 라이미라크신의 가호가 있는 일을.
iria_human.heulfryn.15	필요한 것이 있으면 뭐든지 말해 주세요. <button title='회화' keyword='@talk'/><button title='거래' keyword='@shop'/><button title='수리' keyword='@repair'/>
iria_human.heulfryn.16	네─와… 는, 다른 이야기를 할까요? <br/><br/><button title='종료' keyword='@end'/><button title='회화' keyword='@talk'/><button title='거래' keyword='@shop'/><button title='수리' keyword='@repair'/>
iria_human.heulfryn.17	<button title='치료를 받는다' keyword='@healerscare'/>
iria_human.heulfryn.18	오늘의 아르바이트는 순조롭게 진행되고 있습니까? <br/>
iria_human.heulfryn.19	계세요~. 라이미라크신의 가호가 있는 일을.
iria_human.heulfryn.20	계세요,<username/>씨!
iria_human.heulfryn.21	최근 잘 만나뵈네요. <username/>씨.
iria_human.heulfryn.22	뭔가 도울 수 있는 것은 있습니까?
iria_human.heulfryn.23	어? 또 만나뵈었어요. <br/>네? 아하핫. 잘 들러 주시는<username/>씨를<br/>잊을 이유 없지 않습니까~.
iria_human.heulfryn.24	무엇인가… 찾기의 것입니까? <br/>
iria_human.heulfryn.25	아!? 어, 어디서 이런 심한 상처를…?? <br/>곧바로 치료하지 않으면…! <br/>아… 에서도, 치료비가 90 골드 들어 버립니다만… 어떻게 합니까?
iria_human.heulfryn.26	<button title='치료를 받는다' keyword='@gethealing'/><button title='그만둔다' keyword='@cancel'/>
iria_human.heulfryn.27	네! 끝났어요. 이제(벌써) 이것으로 괜찮습니다. <br/>그렇지만, 그다지 무리하지 말아 주세요? <br/>내를 언제라도 치료할 수 있는 것이 아니기 때문에….
iria_human.heulfryn.28	그렇게 말하면<username/>씨. 응급 치료의 스킬,<br/>가지고 있지 않았던 것이군요. <br/>상처를 되어도, 나의 곳에 와 받을 수 있으면 치료는 할 수 있습니다만…<br/>응급 치료 스킬을 기억해 두어지면, 편리해요? <p/>응급 치료 스킬은, 붕대를 감아 상처를 수당 하는 스킬입니다. <br/>인 것으로, 미리 붕대가 없으면 사용할 수 없는 스킬인 것으로,<br/>사전에 사 두는 것을 잊지 말아 주세요.
iria_human.heulfryn.29	아… 미, 미안합니다…. <br/>치료비가… 부족한 것 같습니다. <br/>정말로 미안해요… 진찰료도 걸려 버리므로,<br/>공짜로 진찰해 드리는 것이 할 수 없습니다….
iria_human.heulfryn.30	상처, 되어 있지 않은 것 같아요? <br/>괜찮아! 안심해 주세요.
iria_human.heulfryn.31	<npcportrait name='NONE'/><title name='NONE'/>히르브린과의 회화를 끝냈다.
iria_human.heulfryn.32	알고 계십니까? 붕대는, 양모로부터 만듭니다. <br/>탐험하러 가는 모험자씨들은 모두,<br/>만일의 상처에 대비해,<br/>출발전에 붕대를 사 들여 갈 수 있습니다. <p/>그렇지만, 여러분 탐험만 되어,<br/>중요한 양모를 모아 주시는 분이 그다지 없어서…<br/>정직, 최근의 고민거리입니다. <p/>만약 괜찮으면, 수고스럽겠지만<br/>양모를 20개, 모아 와 받을 수 있지 않습니까? <br/>모아 와 받을 수 있으면, 응급 치료 스킬을<br/>1단계, 랭크 업 시키는 방법을 지도 해요. <button title='퀘스트를 받는다' keyword='@Yes'/><button title='다음으로 한다' keyword='@No'/>
iria_human.heulfryn.33	양모 20개나 채집하는 것은, 굉장히 어렵다고 생각합니다. <br/>서두르지 않고 천천히 모아 와 주세요. <br/>밤 늦게까지<username/>씨를 기다리고 있습니다.
iria_human.heulfryn.34	짐, 가득 같네요…. <br/>양모를 모으려면, 목록에 여유가 없으면….
iria_human.heulfryn.35	역시, 양모 20개는 너무 많은 것입니까….
iria_human.heulfryn.36	넓은 이리아를 여행하고 있으면, 상처를 되는 일도 있지요. <br/>물론, 나에게 말을 걸어 주시면 치료도 할 수 있습니다만,<br/>캠프에서 멀게 멀어진 곳에서 상처 되거나 했을 때는<br/>그렇게도 가지 않네요. <p/>그래서, 그런 때에 편리한,<br/>응급 치료 스킬을 지도 합시다! <br/>조속히 전수를─<p/>… 과 가고 싶은 곳입니다만, 그 앞에 하나 부탁이 있습니다. <br/>조금 대단합니다만… 카르숲의 유적의 던전에 나타나는<br/>포트 스파이더의 송곳니를 1개, 손에 넣어 와 받을 수 있지 않습니까? <p/>포트 스파이더의 송곳니는, 실은<br/>부분 마취나 진통제의 재료가 됩니다. <br/>그것이 일반적으로 보급해 버렸기 때문인가,<br/>최근 손에 들어 오기 어려워져 버려…. <p/>아. 그렇게 많지 않아서…1개만으로 좋습니다. <br/>가져와 주시면, 보수로서<br/>1 랭크상의 응급 치료 스킬을 지도 해요. <p/>아. 포트 스파이더의 송곳니에는, 부작용으로서<br/>맹독의 성분이 포함되어 있습니다. <br/>서투르게 취급하면, 반대로 부작용이 나와 대단한 것이 되므로,<br/>손에 넣어졌다고 해도 조심해 옮겨 주세요. <br/><button title='퀘스트를 받는다' keyword='@Yes'/><button title='다음으로 한다' keyword='@No'/>
iria_human.heulfryn.37	아… 후 또 하나. <p/>이따금, 「빛나는 포트 스파이더의 송곳니」를<br/>가져와 주시는 분이 계십니다만,<br/>필요한 것은, 단순한 「포트 스파이더의 송곳니」인 것으로,<br/>조심해 주세요. <p/>「빛난다」편의 것은, 또 다른 성분이 포함되어 있으므로,<br/>마취나 진통제의 재료로서는 사용할 수 없어요. <p/>그러면,<username/>씨의 무사를 기원하면서,<br/>여기서 기다리고 있습니다. 조심해!
iria_human.heulfryn.38	목록에 빈 곳이 없어서, 퀘스트가 들어가지 않아요~.
iria_human.heulfryn.39	유적 탐색은 아직 불안합니까? <br/>금방이라는 것은인 것으로…<br/>마음의 준비를 할 수 있으면 언제라도 말을 걸어 주세요.
iria_human.heulfryn.40	아하하. 아니오, 나 따위를 가르칠 수 있는 일은…. <br/>여러가지 하고 있는 것 같게 보이는지도 모릅니다만,<br/>실은, 그다지 굉장한 일은 하지 않아요, 나.
iria_human.heulfryn.41	잡화상입니까? <br/>그렇다면, 근처의 에피씨가 그래요. <br/>저쪽의… 조금 신비적인 옷의, 예쁜 분입니다. <br/>곧바로 안다고 생각해요.
iria_human.heulfryn.42	기본적인 요리의 재료는, 잡화상에서 팔고 있어요~. <br/>저기에 계시는 에피씨에게 질문해 주세요.
iria_human.heulfryn.43	네─와… 치료자의 집이라고 말하는 것도 주제넘을지도 모릅니다만…<br/>내가 부업으로 치료자의 일도 받아들이고 있습니다. <br/>붕대라든지… 뭔가 필요한 것이 있으면, 사양말고 말을 걸어 주세요. <br/>대개의 것이라면, 갖추어진다고 생각해요~.
iria_human.heulfryn.44	그렇네요… 여기는 아직도 마을은 규모다…. <br/>모두, 적당하게 캠프를 만들고 있다는 느낌이기 때문에. <br/>여관 같은 곳이 있으면 좋다고는 생각합니다만,<br/>아마, 이 상태는, 너무 수입은 전망할 수 있을 것 같게는 없네요.
