tirchonaill.dilys.1	디리스가 로그인했습니다.
tirchonaill.dilys.2	디리스의 상점 생성에 성공했습니다.
tirchonaill.dilys.3	[0]포션
tirchonaill.dilys.4	[1]구급 용품
tirchonaill.dilys.5	디리스의 상점 생성에 실패했습니다.
tirchonaill.dilys.6	이번달은 금고를 주문하자…|오늘의 저녁식사는 무엇으로 할까나…|시장에라도 가 볼까나…|반찬을 준비하는 것도 귀찮니까…|가끔 씩은 별을 보고 싶은… 일까|흥, 남자는 모두 함께…|최근, 상처도 하고 있지 않은데 오는 사람이 많네요…
tirchonaill.dilys.7	[0]포션
tirchonaill.dilys.8	[1]구급 용품
tirchonaill.dilys.9	<npcportrait name='NONE'/><title name='NONE'/>스마트한 여성으로 그린의 치료자 드레스를 아름답게 맵시있게 입은 성숙인 여성. <br/>어깨까지의 쇼트 헤어는 정중하게 손질 되고 있어<br/>얇게 화장을 해 미소짓는 모습은, 상대에게 평온함을 가져온다. <br/><button title='계속된다' keyword='@continue'/>
tirchonaill.dilys.10	아! 이 상처! 어디서 도대체 이렇게!? <br/>이것은 응급 처치가 필요하구나… 아파도 인내 하세요. <p/>…. <p/>……. <p/>……… 후우, 이것으로 좋다. <p/>완전히, 이렇게 될 때까지 뭐 하고 있었어? <br/>우선 응급 처치는 끝났지만…. <br/>이번 같은 상태가 되면, 지금 가르친 스킬을 사용하세요. <br/>응급 치료의 스킬. 꽤 편리해요.
tirchonaill.dilys.11	당신, 여기에 오는 것은 처음으로…? <br/>
tirchonaill.dilys.12	치료자의 집에 어서 오십시오. <br/><button title='회화' keyword='@talk'/><button title='거래' keyword='@shop'/>
tirchonaill.dilys.13	그 밖에 용건은 없습니까? <br/><br/><button title='종료' keyword='@end'/><button title='회화' keyword='@talk'/><button title='거래' keyword='@shop'/>
tirchonaill.dilys.14	어린이날 이벤트
tirchonaill.dilys.15	아직 조금 빠릅니다만, 의뢰한 건은 어떻습니까? <br/>마감전이 되면 보고해 주세요. <br/>
tirchonaill.dilys.16	계세요. <br/>
tirchonaill.dilys.17	… 전에도 계셨습니까? <br/>예, 본 기억이 있습니다. <br/>
tirchonaill.dilys.18	치료자의 집에 어서 오십시오,<username/>씨. <br/>
tirchonaill.dilys.19	어서 오십시오,<username/>씨. <br/>만나뵐 수 있어 기뻐요.
tirchonaill.dilys.20	또 온 것입니까? <username/>씨. <br/>좀 더 건강 관리에는 배려를 해 주세요.
tirchonaill.dilys.21	어떤 포션이 필요합니까?
tirchonaill.dilys.22	<npcportrait name='NONE'/><title name='NONE'/>디리스와의 이야기를 끝냈다.
tirchonaill.dilys.23	이 집을 나와, 길을 남쪽에 곧바로 가면 광장에 나옵니다. <br/>잡화상은, 그 광장의 제일 좌측에 있는 건물입니다. <br/>곧 발견될 것. <br/>말콤에도 아무쪼록 잘 전해 주세요.
tirchonaill.dilys.24	식료품점의 케이틴씨에게는, 눈이 나쁜 어머니가 있는 것을 알고 계십니까? <br/>도와 주고 싶습니다만, 나의 힘으로는 어떻게도 할 수 없어서…. <p/>이런 때는, 치료자라고 하는 일의 의의를 조금 생각해 버립니다….
tirchonaill.dilys.25	은행의 사무원 베빈씨는, 매우 유쾌한 아가씨입니다. 건강해, 재미있다. <br/>일도 확실히 하고 있어, 또릿또릿 하고 있습니다. <p/>… 무엇? 믿을 수 없는거야?
tirchonaill.dilys.26	내가 치료자에는 안보이는 것인지, 여러분으로부터 잘 묻습니다. <br/>그렇지만, 나의 집은 여기입니다. <br/>다만, 실제로는, 트레보가 헛간 대신에 사용하고 있습니다만…. <br/>어차피남은, 모두 그런 것일까.
tirchonaill.dilys.27	여관은 마을의 남동의 방위에 있습니다. <br/>아마, 여관의 앞에서 여행자에게 안내를 하고 있는 노라를 보기 시작할 것입니다. <br/>만약 여관에서 쉬어도 상태가 돌아오지 않는 것 같다면, 또 오셔 주세요.
tirchonaill.dilys.28	대장간은 여기에서 마을의 반대측, 남동의 강의 건너편에 있습니다. <br/>다리를 건너자 마자입니다. <br/>만약 가는 용무가 있다면, 퍼거스씨의 컨디션을 들어 와 받을 수 있습니까? <p/>그 사람, 술을 아주 좋아해서, 조금 걱정입니다.
tirchonaill.dilys.29	광장에 갈 때는, 집 앞의 비탈을 곧바로 내려 주세요. <br/>사람이 상당히 모이는 장소인 것으로, 곧 발견된다고 생각합니다. <p/>광장은, 이 마을에서 제일 떠들썩한 장소입니다. <br/>활기가 있지만, 인파로 소란스럽다…. <br/>정직, 나는 인파는 서투릅니다.
tirchonaill.dilys.30	완전히, 농담도 적당히 해 주세요. <br/>나 같은 힘이 약한 여성이,<br/>어떻게 하면 그렇게 강력한 스킬을 몸에 익힐 수 있다고 합니까? <br/>무엇보다, 라사라면 가능할지도 모릅니다만…. <p/>레이널드 선생님은 학교의 훈련장에 있습니다. <br/>이 키워드로 말을 걸어 봐 주세요.
tirchonaill.dilys.31	식당… 입니까? <br/>이 마을에 식당은 없습니다, 대신에 식료품점이 있습니다. <br/>이 집 앞의 길을 광장 쪽에 내려 가면,<br/>전방으로 세프의 간판이 보여 올 것입니다. <br/>식료를 요구라면, 안에 들어가 케이틴씨를 찾아 주세요.
tirchonaill.dilys.32	음… 이 마을에는 무기의 전문점은 없습니다만,<br/>그런 일이라면, 대장간의 퍼거스씨에게 들어 봐서는 어떻습니까?<br/>대장간은 마을의 남동, 여관의 끝에 있는 다리를 건너자 마자입니다.
tirchonaill.dilys.33	의료품점? <br/>그렇구나… 분명히, 누군가가 의료품점을 하면 된다고는<br/>쭉 생각하고 있었습니다만. <br/>공교롭게도 아직, 이 마을에는 그러한 가게는 없는거야. <p/>만약 양복이 필요하면, 말콤의 잡화상에 오세요.
